OBJECTID,FECHA,Dia Semana,Dia,Dia Semana2,Mes,Semana,N_FALL,T_FALL,T_HOSP,T_VM,T_ACT,T_CASOS,N_CASOS,Kg Reas Retirado,,,,,,,
1,03/03/2020,2,2,Martes,3,10,0,0,0,,1,1,1,"15,004",,,,,,,
2,04/03/2020,3,3,Miércoles,3,10,0,0,0,,3,3,2,"19,507",,,,,,,
3,05/03/2020,4,4,Jueves,3,10,0,0,0,,4,4,1,"16,950",,,,,,,
4,06/03/2020,5,5,Viernes,3,10,0,0,0,,5,5,1,"22,947",,,,,,,
5,07/03/2020,6,6,Sábado,3,10,0,0,0,,7,7,2,"2,122",,,,,,,
6,08/03/2020,7,7,Domingo,3,10,0,0,0,,10,10,3,0,,,,,,,
7,09/03/2020,1,1,Lunes ,3,11,0,0,0,,13,13,3,"23,487",,,,,,,
8,10/03/2020,2,2,Martes,3,11,0,0,0,,17,17,4,"14,125",,,,,,,
9,11/03/2020,3,3,Miércoles,3,11,0,0,0,,23,23,6,"22,749",,,,,,,
10,12/03/2020,4,4,Jueves,3,11,0,0,0,,33,33,10,"15,788",,,,,,,
11,13/03/2020,5,5,Viernes,3,11,0,0,0,,43,43,10,"22,186",,,,,,,
12,14/03/2020,6,6,Sábado,3,11,0,0,0,,61,61,18,"2,433",,,,,,,
13,15/03/2020,7,7,Domingo,3,11,0,0,0,,75,75,14,0,,,,,,,
14,16/03/2020,1,1,Lunes ,3,12,0,0,0,,156,156,81,"24,369",,,,,,,
15,17/03/2020,2,2,Martes,3,12,0,0,0,,201,201,45,"16,052",,,,,,,
16,18/03/2020,3,3,Miércoles,3,12,0,0,8,,238,238,37,"19,099",,,,,,,
17,19/03/2020,4,4,Jueves,3,12,0,0,19,,337,342,104,"19,514",,,,,,,
18,20/03/2020,5,5,Viernes,3,12,0,0,32,,428,434,92,"20,816",,,,,,,
20,21/03/2020,6,6,Sábado,3,12,1,1,36,,528,537,103,"3,235",,,,,,,
21,22/03/2020,7,7,Domingo,3,12,0,1,29,,623,632,95,680,,,,,,,
22,23/03/2020,1,1,Lunes ,3,13,1,2,34,,733,746,114,"23,599",,,,,,,
23,24/03/2020,2,2,Martes,3,13,0,2,40,,903,922,176,"13,676",,,,,,,
24,25/03/2020,3,3,Miércoles,3,13,1,3,43,,1117,1142,220,"15,079",,,,,,,
25,26/03/2020,4,4,Jueves,3,13,1,4,44,,1269,1306,164,"14,382",,,,,,,
26,27/03/2020,5,5,Viernes,3,13,1,5,52,,1562,1610,304,"18,087",,,,,,,
27,28/03/2020,6,6,Sábado,3,13,1,6,81,,1842,1909,299,"2,645",,,,,,,
28,29/03/2020,7,7,Domingo,3,13,1,7,105,,2057,2139,230,0,,,,,,,
29,30/03/2020,1,1,Lunes ,3,14,1,8,122,82,2285,2449,310,"21,621",,,,,,,
30,31/03/2020,2,2,Martes,3,14,4,12,138,108,2570,2738,289,"14,425",,,,,,,
31,01/04/2020,3,3,Miércoles,4,14,4,16,173,142,2781,3031,293,"18,195",,,,,,,
32,02/04/2020,4,4,Jueves,4,14,2,18,200,168,3051,3404,373,"13,002",,,,,,,
33,03/04/2020,5,5,Viernes,4,14,4,22,237,190,3288,3737,333,"16,205",,,,,,,
34,04/04/2020,6,6,Sábado,4,14,5,27,280,225,3606,4161,424,"3,802",,,,,,,
35,05/04/2020,7,7,Domingo,4,14,7,34,307,252,3820,4471,310,321,,,,,,,
36,06/04/2020,1,1,Lunes ,4,15,3,37,327,270,4050,4815,344,"20,311",,,,,,,
37,07/04/2020,2,2,Martes,4,15,6,43,337,286,4175,5116,301,"13,339",,,,,,,
38,08/04/2020,3,3,Miércoles,4,15,5,48,362,316,4383,5546,430,"16,319",,,,,,,
39,09/04/2020,4,4,Jueves,4,15,9,57,360,316,4641,5972,426,"15,252",,,,,,,
40,10/04/2020,5,5,Viernes,4,15,8,65,383,318,4865,6501,529,"11,874",,,,,,,
41,11/04/2020,6,6,Sábado,4,15,8,73,383,322,4945,6927,426,"2,093",,,,,,,
42,12/04/2020,7,7,Domingo,4,15,7,80,387,328,5074,7213,286,"1,157",,,,,,,
43,13/04/2020,1,1,Lunes ,4,16,2,82,387,330,5076,7525,312,"20,577",,,,,,,
44,14/04/2020,2,2,Martes,4,16,10,92,379,315,5179,7917,392,"14,176",,,,,,,
45,15/04/2020,3,3,Miércoles,4,16,2,94,389,315,5242,8273,356,"18,958",,,,,,,
46,16/04/2020,4,4,Jueves,4,16,11,105,384,313,5403,8807,534,"13,973",,,,,,,
47,17/04/2020,5,5,Viernes,4,16,11,116,385,316,5515,9252,445,"18,196",,,,,,,
48,18/04/2020,6,6,Sábado,4,16,10,126,360,296,5569,9730,478,"4,747",,,,,,,
49,19/04/2020,7,7,Domingo,4,16,7,133,373,312,5617,10088,358,483,,,,,,,
50,20/04/2020,1,1,Lunes ,4,17,6,139,377,296,5692,10507,419,"25,387",,,,,,,
51,21/04/2020,2,2,Martes,4,17,8,147,392,303,5716,10832,325,"16,448",,,,,,,
52,22/04/2020,3,3,Miércoles,4,17,13,160,399,309,5750,11296,464,"20,317",,,,,,,
53,23/04/2020,4,4,Jueves,4,17,8,168,411,316,5840,11812,516,"14,598",,,,,,,
54,24/04/2020,5,5,Viernes,4,17,6,174,415,325,5805,12306,494,"20,481",,,,,,,
55,25/04/2020,6,6,Sábado,4,17,7,181,418,321,5931,12858,552,"2,199",,,,,,,
56,26/04/2020,7,7,Domingo,4,17,8,189,415,319,6118,13331,473,322,,,,,,,
57,27/04/2020,1,1,Lunes ,4,18,9,198,426,325,6288,13813,482,"27,418",,,,,,,
58,28/04/2020,2,2,Martes,4,18,9,207,428,317,6448,14365,552,"18,051",,,,,,,
59,29/04/2020,3,3,Miércoles,4,18,9,216,418,310,6862,15135,770,"20,909",,,,,,,
60,30/04/2020,4,4,Jueves,4,18,11,227,419,323,7216,16023,888,"16,102",,,,,,,
61,01/05/2020,5,5,Viernes,5,18,7,234,428,327,7756,17008,985,"13,470",,,,,,,
62,02/05/2020,6,6,Sábado,5,18,13,247,425,324,8615,18435,1427,"5,012",,,,,,,
63,03/05/2020,7,7,Domingo,5,18,13,260,449,339,9362,19663,1228,0,,,,,,,
64,04/05/2020,1,1,Lunes ,5,19,10,270,464,354,9958,20643,980,"30,665",,,,,,,
65,05/05/2020,2,2,Martes,5,19,5,275,470,356,11031,22016,1373,"19,849",,,,,,,
66,06/05/2020,3,3,Miércoles,5,19,6,281,486,385,11578,23048,1032,"24,621",,,,,,,
67,07/05/2020,4,4,Jueves,5,19,4,285,493,391,12632,24581,1533,"17,472",,,,,,,
68,08/05/2020,5,5,Viernes,5,19,9,294,508,419,13518,25972,1391,"28,122",,,,,,,
69,09/05/2020,6,6,Sábado,5,19,10,304,544,445,14248,27219,1247,"6,279",,,,,,,
70,10/05/2020,7,7,Domingo,5,19,8,312,565,470,15038,28466,1647,"1,885",,,,,,,
71,11/05/2020,1,1,Lunes ,5,20,11,323,574,474,16135,30063,1197,"37,028",,,,,,,
72,12/05/2020,2,2,Martes,5,20,12,335,604,494,17261,31721,1658,"20,942",,,,,,,
73,13/05/2020,3,3,Miércoles,5,20,11,346,642,538,19170,34381,2660,"32,120",,,,,,,
74,14/05/2020,4,4,Jueves,5,20,22,368,663,555,21017,37040,2659,"23,572",,,,,,,
75,15/05/2020,5,5,Viernes,5,20,26,394,711,584,22534,39542,2502,"32,430",,,,,,,
76,16/05/2020,6,6,Sábado,5,20,27,421,751,624,22993,41428,1886,"7,206",,,,,,,
77,17/05/2020,7,7,Domingo,5,20,29,450,769,627,24118,43781,2353,953,,,,,,,
78,18/05/2020,1,1,Lunes ,5,21,28,478,807,670,25416,46059,2278,"42,902",,,,,,,
79,19/05/2020,2,2,Martes,5,21,31,509,876,728,27563,49579,3520,"26,335",,,,,,,
80,20/05/2020,3,3,Miércoles,5,21,35,544,904,758,30569,53617,4038,"31,512",,,,,,,
81,21/05/2020,4,4,Jueves,5,21,45,589,943,795,33000,57581,3964,"20,710",,,,,,,
82,22/05/2020,5,5,Viernes,5,21,41,630,986,850,35885,61857,4276,"30,386",,,,,,,
83,23/05/2020,6,6,Sábado,5,21,43,673,1062,900,38204,65423,3536,"7,366",,,,,,,
84,24/05/2020,7,7,Domingo,5,21,45,718,1090,942,40266,69132,3709,"2,931",,,,,,,
85,25/05/2020,1,1,Lunes ,5,22,43,761,1135,989,43934,73997,4895,"46,500",,,,,,,
86,26/05/2020,2,2,Martes,5,22,45,806,1202,1029,46240,77961,3964,"31,960",,,,,,,
87,27/05/2020,3,3,Miércoles,5,22,35,841,1251,1048,47908,82289,4328,"34,423",,,,,,,
88,28/05/2020,4,4,Jueves,5,22,49,890,1286,1079,49903,86943,4654,"32,931",,,,,,,
89,29/05/2020,5,5,Viernes,5,22,54,944,1350,1143,51096,90638,3695,"34,737",,,,,,,
90,30/05/2020,6,6,Sábado,5,22,53,997,1371,1151,53430,94858,4220,"12,126",,,,,,,
91,31/05/2020,7,7,Domingo,5,22,57,1054,1383,1174,55907,99688,4830,"4,188",,,,,,,
92,01/06/2020,1,1,Lunes ,6,23,59,1113,1446,1209,59100,105159,5471,"59,467",,,,,,,
93,02/06/2020,2,2,Martes,6,23,75,1188,1471,1202,21518,108686,3527,"34,895",,,,,,,
94,03/06/2020,3,3,Miércoles,6,23,87,1275,1475,,21605,113628,4942,"43,228",,,,,,,
95,04/06/2020,4,4,Jueves,6,23,81,1356,1496,1261,21305,118292,4664,"35,696",,,,,,,
96,05/06/2020,5,5,Viernes,6,23,92,1448,1521,1291,21693,122499,4207,"37,822",,,,,,,
97,06/06/2020,6,6,Sábado,6,23,93,1541,1524,1294,22387,127745,5246,"19,234",,,,,,,
98,07/06/2020,7,7,Domingo,6,23,649,2190,1558,1336,23810,134150,6405,"4,514",,,,,,,
99,08/06/2020,1,1,Lunes ,6,24,74,2264,1581,1333,24334,138846,4696,"61,597",,,,,,,
100,09/06/2020,2,2,Martes,6,24,19,2283,1577,1325,23115,142759,3913,"41,954",,,,,,,
101,10/06/2020,3,3,Miércoles,6,24,192,2475,1590,1354,24201,148496,5737,"44,895",,,,,,,
102,11/06/2020,4,4,Jueves,6,24,173,2648,1618,1379,25000,154092,5596,"40,845",,,,,,,
103,12/06/2020,5,5,Viernes,6,24,222,2870,1647,1391,26618,160846,6754,"40,664",,,,,,,
104,13/06/2020,6,6,Sábado,6,24,231,3101,1656,1408,26958,167355,6509,"17,302",,,,,,,
105,14/06/2020,7,7,Domingo,6,24,222,3323,1715,1465,27266,174293,6938,"5,739",,,,,,,
106,15/06/2020,1,1,Lunes ,6,25,39,3362,1723,1463,27282,179436,5143,"62,377",,,,,,,
107,16/06/2020,2,2,Martes,6,25,21,3383,1727,1470,24834,184449,5013,"37,715",,,,,,,
108,17/06/2020,3,3,Miércoles,6,25,232,3615,1794,1572,35082,220628,4757,"43,691",,,,,,,
111,19/06/2020,5,5,Viernes,6,25,226,3841,1845,1572,34821,225103,4475,"37,032",,,,,,,
113,19/06/2020,5,5,Viernes,6,25,252,4093,1911,,35809,231393,6290,"41,545",,,,,,,
114,20/06/2020,6,6,Sábado,6,25,202,4295,1951,1682,35844,236748,5355,"21,692",,,,,,,
115,21/06/2020,7,7,Domingo,6,25,184,4479,1996,1713,37307,242355,5607,"7,076",,,,,,,
116,22/06/2020,1,1,Lunes ,6,26,23,4502,2014,1726,37064,246963,4608,"58,337",,,,,,,
117,23/06/2020,2,2,Martes,6,26,3,4505,2009,1720,35692,250767,3804,"42,965",,,,,,,
118,24/06/2020,3,3,Miércoles,6,26,226,4731,2046,1742,34592,254416,3649,"49,721",,,,,,,
119,25/06/2020,4,4,Jueves,6,26,172,4903,2078,1751,34834,259064,4648,"43,009",,,,,,,
120,26/06/2020,5,5,Viernes,6,26,165,5068,2086,1772,34861,263360,4296,"56,810",,,,,,,
121,27/06/2020,6,6,Sábado,6,26,279,5347,2090,1741,34364,267766,4406,"23,835",,,,,,,
122,28/06/2020,7,7,Domingo,6,26,162,5509,2129,1793,34263,271982,4216,"8,769",,,,,,,
123,29/06/2020,1,1,Lunes ,6,27,66,5575,2090,1763,34270,275999,4017,"51,923",,,,,,,
124,30/06/2020,2,2,Martes,6,27,113,5688,2106,1756,32476,279393,3394,"41,765",,,,,,,
125,01/07/2020,3,3,Miércoles,7,27,65,5753,2075,1720,30847,282043,2650,"49,233",,,,,,,
126,02/07/2020,4,4,Jueves,7,27,167,5920,2099,1762,29374,284541,2498,"41,215",,,,,,,
127,03/07/2020,5,5,Viernes,7,27,131,6051,2107,1757,28695,288089,3548,"42,999",,,,,,,
128,04/07/2020,6,6,Sábado,7,27,141,6192,2077,1731,28210,291847,3758,"19,977",,,,,,,
129,05/07/2020,7,7,Domingo,7,27,116,6308,2078,1736,28194,295532,3685,"10,384",,,,,,,
130,06/07/2020,1,1,Lunes ,7,28,76,6384,2069,1747,27804,298557,3025,"58,778",,,,,,,
131,07/07/2020,2,2,Martes,7,28,50,6434,2060,1699,26340,301019,2462,"41,329",,,,,,,
132,08/07/2020,3,3,Miércoles,7,28,139,6573,2053,1712,24807,303083,2064,"42,319",,,,,,,
133,09/07/2020,4,4,Jueves,7,28,109,6682,1999,1670,24612,306216,3133,"38,525",,,,,,,
134,10/07/2020,5,5,Viernes,7,28,99,6781,1990,1648,24440,309274,3058,"42,791",,,,,,,
135,11/07/2020,6,6,Sábado,7,28,100,6881,1999,1653,24034,312029,2755,"22,313",,,,,,,
136,12/07/2020,7,7,Domingo,7,28,98,6979,1995,1669,24166,315041,3012,"12,419",,,,,,,
137,13/07/2020,1,1,Lunes ,7,29,45,7024,1931,1613,24077,317657,2616,"59,721",,,,,,,
138,14/07/2020,2,2,Martes,7,29,45,7069,1915,1596,23205,319493,1836,"39,484",,,,,,,
139,15/07/2020,3,3,Miércoles,7,29,117,7186,1878,1573,21934,321205,1712,"41,764",,,,,,,
140,16/07/2020,4,4,Jueves,7,29,104,7290,1821,1516,21107,323680,2475,"35,127",,,,,,,
141,17/07/2020,5,5,Viernes,7,29,98,7388,1796,1502,21378,326539,2859,"43,289",,,,,,,
142,18/07/2020,6,6,Sábado,7,29,1057,8445,1792,1465,20952,328724,2185,"17,171",,,,,,,
143,19/07/2020,7,7,Domingo,7,29,58,8503,1764,1459,20633,330806,2082,"10,235",,,,,,,
144,20/07/2020,1,1,Lunes ,7,30,130,8633,1753,1469,20404,332905,2099,"54,700",,,,,,,
145,21/07/2020,2,2,Martes,7,30,44,8677,1728,,19190,334561,1656,"39,944",,,,,,,
